Fosdrod Runeshaper
Thoznor Darkchin
Durivroli Platefury
Halgrog Bristlehide
Lognean Coppermail
Bhaznoid Grumblebuster
Nukhim Woldjaw
Lovek Bristlefury
Groornorlun Drakeriver
Nurarser Goldenbrand
Khekhotum Barbedbranch
Darelmeck Emberstone
Whurduth Copperbelt
Hesgrer Dimheart
Nernatum Graveltoe
Werakous Wyvernmace
Losgrarlig Fieryaxe
Uzzog Oremaul
Jotreck Gravelshaper
Lurrol Shadowbraid
Supapit Pantamut
Thirheag Broadmace
Houbrumli Platespine
Strornoc Rubybelly
Noraturim Stronghood
Broukgrom Merryflayer
Dorarger Grayheart
Grumrarlum Smeltgrip
Yorgaet Shatterbane
Grarfulir Dimpike
Khourmack Flintmantle
